ISO3,DD_mean,GDP,AC
AFG,1059.317917,512.0982411953108,
AGO,1726.795211,2537.2510154637234,
ALB,387.7114531,5393.414033337256,
AND,0.324418386,43762.92502462163,
ARE,3875.287384,47656.71409369885,
ARG,772.4319072,12031.066142928074,
ARM,169.6460677,4479.761739113636,
ATG,2979.323568,17864.642981007353,
AUS,2200.043754,58351.1304830836,
AUT,139.7922065,52495.88769462965,
AZE,804.6430438,4834.591146537183,
BDI,829.3211721,236.70182891286788,
BEL,224.3869472,48495.8807702204,
BEN,3454.233275,1218.3269785567975,
BFA,3885.15277,794.7868234219538,
BGD,2538.295346,2002.6809615537325,
BGR,378.7222879,9640.88788695528,
BHR,3230.922078,25924.163557446143,
BHS,2768.74086,32113.65841763997,
BIH,212.5103238,6144.981376827762,
BLR,209.4431106,6487.2531016369985,
BLZ,2448.726461,6180.345804128085,
BOL,1595.420047,3540.427089663102,
BRA,2508.361929,9303.440494349572,0.16
BRB,2956.007813,18589.38840422189,
BRN,2769.076649,31865.84445274213,
BTN,154.5199649,3274.921970351186,
BWA,1900.125485,7086.774197964503,
CAF,3108.014133,444.65094222134877,
CAN,46.39216282,47478.75108564368,
CHE,86.91203756,86920.97581044523,
CHL,76.28096708,16111.62230407337,
CHN,533.0919945,10103.514239860608,0.6
CIV,2992.175731,2341.451141328924,
CMR,2464.046703,1625.941311276788,
COD,2351.094571,557.1368451981637,
COG,2551.367899,2562.6318502264025,
COL,2203.946667,6917.678678738538,
COM,2251.229403,1561.9645670748337,
CPV,1582.157704,3937.6639075885464,
CRI,1757.513237,12630.812945890939,
CUB,2730.339721,9008.545366784118,
CYM,3277.34375,86936.41065418259,
CYP,1436.542756,30008.284453125,
CZE,250.6379776,23892.97006938921,
DEU,273.9966711,48898.06385421859,
DJI,3719.919107,2810.955059286503,
DMA,2444.904948,7989.858912751193,
DNK,123.1240478,62823.767447293714,
DOM,2141.719943,8106.102540943014,
DZA,2590.557212,4255.231215216027,
ECU,1341.833975,6447.776388731514,
EGY,2408.045048,2581.8240802182772,
ERI,3247.328733,,
ESP,544.1121847,30987.315534894533,
EST,166.1839797,23629.166468216168,
ETH,2007.323327,773.4636440352905,
FIN,109.4100197,50987.37868166582,
FJI,2180.139721,6194.863099279909,
FRA,317.608851,42389.01195606464,
FRO,0.0,63828.33982719096,
GAB,2354.263496,7848.804166066148,
GBR,39.24979064,44172.434471030334,
GEO,273.9182943,4816.483271604228,
GHA,3335.035636,2223.6302779415787,
GIN,2879.380627,963.305613966746,
GMB,3575.181036,696.991130651218,
GNB,3380.005345,797.2772549800469,
GNQ,1986.899499,8893.57060704751,
GRC,650.9188534,20152.130265379797,
GRD,2865.779297,9765.796476559943,
GRL,0.0,55636.20597819729,
GTM,1742.381759,4575.46743119449,
GUY,2459.227629,6216.808033525953,
HND,1724.638677,2506.839732585994,
HRV,467.6553988,15303.203494381116,
HTI,2453.047659,1519.369974308139,
HUN,549.491447,16753.709130568688,
IDN,2405.041162,3980.7149089354684,0.09
IMN,0.0,91214.40921637384,
IND,2615.14621,2013.8652847480632,0.05
IRL,22.98363585,80835.39560880234,
IRN,1713.922334,3906.4264521707673,
IRQ,2752.061885,5713.496402247591,
ISL,0.0,75941.2328546076,
ISR,1602.893898,43254.98233488782,
ITA,482.8706473,35314.61305980297,
JAM,2515.991005,5706.382969186685,
JOR,1592.294376,4229.335456844793,
JPN,481.3155261,40546.15576023652,0.91
KAZ,593.9721012,10008.877930322751,
KEN,2486.478143,1882.6990811155272,
KGZ,61.46018303,1334.3025748028394,
KHM,3222.13012,1563.9823042515673,
KNA,2877.382813,22999.113642232493,
KOR,651.3607921,34105.66152589853,0.86
KWT,3601.044757,32652.37790761804,
LAO,1702.874946,2604.4291037919133,
LBN,710.4168594,9410.362057977763,
LBR,2504.682352,714.0377801652602,
LBY,2402.33401,12075.064681650001,
LCA,2896.777995,11795.149507305518,
LIE,28.01935005,178792.35165979824,
LKA,2866.791781,4447.796436476707,
LSO,120.4463416,1186.2383678928973,
LTU,204.7824079,19570.086783473413,
LUX,201.8619616,119122.24188776851,
LVA,181.213127,18222.33171665918,
MAR,939.8906028,3562.525810546875,
MDA,532.4700098,4240.0966502274505,
MDG,1716.200371,522.7948713489466,
MEX,1471.855206,10054.147637170572,0.16
MKD,328.6850042,6230.913913991811,
MLI,3971.39285,873.4837278553729,
MLT,1029.653381,32197.685271459683,
MMR,1848.248732,1300.413976483737,
MNE,158.2736872,9027.385972270566,
MNG,237.2143505,4248.323277233851,
MOZ,2165.788229,514.6265425830218,
MRT,3381.412848,1784.9533211828045,
MUS,1998.4375,11876.329808136648,
MWI,1501.242017,548.6908481314468,
MYS,2499.12308,11295.458166186612,
NAM,1686.455451,5801.12880977353,
NCL,1401.602324,37225.09990556833,
NER,3631.935293,578.6774661761297,
NGA,3336.438225,2168.3509680423695,
NIC,2485.665239,2021.500431220729,
NLD,216.1240333,54105.42308392889,
NOR,30.10535717,84448.69956555702,
NPL,750.5660424,1184.7650366119922,
NZL,52.45371104,44101.624426187205,
OMN,3619.87087,20285.325797541198,
PAK,2349.492867,1653.1574479456021,
PAN,2294.949677,16479.195780167538,
PER,1286.417452,7050.346715137191,
PHL,2560.115103,3258.566158232541,
PNG,1895.934776,2636.014293091521,
POL,283.871459,15814.59911595879,
PRI,2370.461171,32247.368127680165,
PRK,328.1739371,,
PRT,564.5009584,24033.805613275075,
PRY,2257.797817,6367.820732443288,
PSE,1552.684639,3633.5775615566113,
PYF,2488.214393,21027.19228060286,
QAT,3706.706307,67589.36279157318,
ROU,346.8142576,12744.313128300982,
RUS,82.28067392,11513.10158203125,
RWA,556.739604,784.3434128653439,
SAU,3187.489303,24659.094786219797,0.63
SDN,3573.911627,785.2665234375,
SEN,3843.523953,1513.9116106781664,
SGP,3208.76709,68173.26928249786,
SLB,2743.699177,2499.49258912631,
SLE,2800.716947,530.0429831867954,
SLV,2808.629858,4228.779598052498,
SOM,3025.603366,387.5857227491193,
SRB,374.5762828,7397.451741025083,
SSD,3839.509831,,
STP,2545.37779,1989.6419388455574,
SUR,2643.242571,6865.453518153275,
SVK,261.9837672,19876.121558241204,
SVN,232.9313588,26646.22207034641,
SWE,97.13921012,55680.84159378181,
SWZ,910.8188447,4101.874467349051,
SYR,1657.472256,1134.1095347080404,
TCA,3004.282227,27368.610890158394,
TCD,3546.653237,734.6704029289069,
TGO,3201.220925,891.0262594525384,
THA,2734.251773,7267.050044392642,
TJK,302.7627029,867.6802973423097,
TKM,1721.959023,6855.776531179899,
TLS,2318.066772,1264.1534086991694,
TTO,2845.660737,16487.444561145832,
TUN,1543.986132,3648.712849661652,
TUR,541.6212713,9588.853063777975,
TZA,1631.246282,1031.8316638183633,
UGA,1775.840625,808.9906439240801,
UKR,468.5459262,3158.49375,
URY,824.0416788,19406.5706031078,
USA,604.5795625,64079.77562696094,0.9
UZB,1244.118386,1636.3438144050415,
VCT,2782.173828,8567.68784621605,
VEN,2579.537886,,
VNM,2073.374587,3332.5695086909204,
VUT,2279.037564,3138.3720211355762,
WSM,2289.772949,4272.833263755533,
YEM,2654.826642,715.749175323307,
ZAF,927.694056,7189.478274638555,0.06
ZMB,1567.786753,1504.7038330943706,
ZWE,1451.159947,2314.5605525697865,
